id,familia,marca
26183,1.0,23.0
92531,1.0,229.0
23289,1.0,20.0
84488,1.0,221.0
31524,20.0,33.0
33896,7.0,199.0
81962,1.0,214.0
74550,1.0,7.0
20633,7.0,67.0
86551,1.0,247.0
76220,1.0,7.0
11672,1.0,18.0
77666,1.0,227.0
35436,1.0,165.0
27039,1.0,25.0
35020,1.0,161.0
84588,1.0,50.0
23513,1.0,20.0
30008,7.0,33.0
84560,1.0,221.0
27822,1.0,126.0
69621,8.0,27.0
23291,1.0,20.0
17534,7.0,186.0
93602,1.0,78.0
93554,1.0,50.0
85436,1.0,29.0
19541,1.0,9.0
32230,1.0,33.0
92489,1.0,229.0
106738,1.0,226.0
72744,1.0,137.0
14347,7.0,44.0
30658,20.0,33.0
34702,1.0,161.0
35408,1.0,165.0
34944,1.0,161.0
69657,8.0,27.0
31720,7.0,33.0
77374,1.0,227.0
76445,1.0,18.0
17964,7.0,186.0
34446,1.0,161.0
86693,1.0,234.0
113380,1.0,18.0
67525,9.0,39.0
82997,1.0,214.0
23305,1.0,20.0
11322,1.0,18.0
15337,7.0,44.0
83818,1.0,232.0
9847,1.0,9.0
88209,1.0,18.0
17208,7.0,186.0
16173,1.0,185.0
17604,7.0,186.0
29584,45.0,33.0
37218,1.0,38.0
110393,1.0,228.0
23721,1.0,20.0
67609,7.0,39.0
83232,1.0,240.0
34474,1.0,161.0
71227,7.0,210.0
28136,7.0,194.0
26335,1.0,23.0
70942,1.0,140.0
25811,1.0,23.0
75908,1.0,218.0
14413,7.0,44.0
36420,1.0,170.0
66226,7.0,44.0
82775,1.0,50.0
78162,1.0,213.0
89045,1.0,253.0
73503,7.0,217.0
14937,7.0,44.0
23033,1.0,20.0
81326,1.0,213.0
88429,1.0,218.0
21435,7.0,98.0
8724,1.0,9.0
81485,1.0,220.0
92297,1.0,176.0
82931,1.0,214.0
8991,1.0,18.0
23685,1.0,20.0
78333,1.0,218.0
93496,1.0,176.0
17540,7.0,186.0
28248,5.0,196.0
67904,1.0,10.0
32584,7.0,33.0
87567,1.0,249.0
21351,7.0,76.0
16207,1.0,185.0
14965,7.0,44.0
18532,7.0,186.0
81352,1.0,214.0
30438,18.0,33.0
81770,1.0,235.0
13403,1.0,2.0
72243,5.0,196.0
33286,1.0,198.0
35732,1.0,170.0
89829,1.0,18.0
78415,2.0,21.0
36392,1.0,170.0
14567,7.0,44.0
80747,1.0,230.0
31824,7.0,33.0
18952,7.0,186.0
88419,1.0,176.0
35286,1.0,165.0
28126,1.0,194.0
36208,1.0,170.0
102833,1.0,7.0
12832,8.0,18.0
102611,1.0,65.0
104497,1.0,228.0
32472,20.0,33.0
79735,1.0,21.0
79999,1.0,21.0
26201,1.0,23.0
93450,1.0,218.0
36460,1.0,170.0
75604,1.0,7.0
28186,9.0,195.0
81920,1.0,235.0
67968,9.0,39.0
70498,7.0,19.0
104236,1.0,228.0
73833,1.0,219.0
27616,1.0,25.0
78843,1.0,21.0
26077,1.0,23.0
23269,1.0,20.0
84910,1.0,29.0
8943,1.0,18.0
24039,1.0,20.0
31186,20.0,33.0
16195,1.0,185.0
102825,1.0,7.0
21277,7.0,76.0
75792,1.0,219.0
73891,1.0,219.0
28244,5.0,196.0
8575,1.0,181.0
87443,1.0,226.0
80095,1.0,229.0
35282,1.0,165.0
79483,1.0,21.0
25651,1.0,23.0
16993,7.0,186.0
27924,1.0,194.0
68175,1.0,10.0
76150,1.0,7.0
19346,7.0,186.0
93568,1.0,78.0
20381,7.0,67.0
89426,1.0,176.0
77844,1.0,213.0
20217,1.0,10.0
31592,20.0,33.0
34262,1.0,160.0
29732,20.0,33.0
28170,7.0,194.0
84614,1.0,50.0
93262,1.0,229.0
22131,7.0,98.0
8623,1.0,181.0
91899,1.0,176.0
108709,1.0,65.0
26537,1.0,23.0
24917,1.0,20.0
34900,1.0,161.0
20385,7.0,67.0
14373,7.0,44.0
34710,1.0,161.0
81358,1.0,214.0
20427,7.0,67.0
25621,1.0,23.0
82363,1.0,235.0
36808,1.0,38.0
79361,1.0,21.0
36048,1.0,170.0
87305,1.0,176.0
15305,7.0,44.0
29560,20.0,33.0
89232,1.0,18.0
82207,1.0,235.0
19104,7.0,186.0
23791,1.0,20.0
86371,1.0,247.0
83784,1.0,7.0
107980,1.0,267.0
28398,1.0,30.0
69705,8.0,27.0
23353,1.0,20.0
9116,1.0,18.0
87449,1.0,226.0
88403,1.0,218.0
79691,1.0,21.0
90375,1.0,176.0
8926,1.0,18.0
28510,1.0,30.0
67758,7.0,39.0
74138,1.0,219.0
24147,1.0,20.0
18712,7.0,186.0
31262,20.0,33.0
26069,1.0,23.0
22639,3.0,20.0
92079,1.0,176.0
17045,1.0,18.0
74936,1.0,7.0
24159,1.0,20.0
88017,1.0,251.0
91957,1.0,176.0
79673,1.0,21.0
34952,1.0,161.0
84938,1.0,29.0
26095,1.0,23.0
12800,8.0,18.0
10374,1.0,176.0
66151,8.0,2.0
90018,1.0,270.0
21311,7.0,76.0
80795,1.0,213.0
112475,1.0,269.0
16289,1.0,185.0
29706,20.0,33.0
82279,1.0,213.0
32548,7.0,33.0
69404,8.0,27.0
76615,2.0,18.0
12237,1.0,18.0
78459,1.0,21.0
30372,7.0,33.0
110422,1.0,228.0
32786,7.0,33.0
81856,1.0,235.0
91033,1.0,213.0
84748,1.0,29.0
22275,7.0,193.0
18132,7.0,186.0
36526,1.0,202.0
27115,1.0,25.0
70658,8.0,27.0
34168,1.0,156.0
87109,1.0,176.0
73607,1.0,219.0
29566,7.0,33.0
108579,1.0,65.0
23733,1.0,20.0
80623,1.0,7.0
20253,7.0,67.0
10969,1.0,18.0
68915,7.0,15.0
93538,1.0,244.0
16511,1.0,185.0
34052,1.0,156.0
10585,1.0,1.0
78613,1.0,21.0
16871,7.0,186.0
91041,1.0,213.0
73777,1.0,219.0
28394,1.0,30.0
93030,1.0,218.0
17972,7.0,186.0
30780,20.0,33.0
29608,20.0,33.0
9565,1.0,9.0
20485,7.0,67.0
30558,7.0,33.0
35624,1.0,170.0
31900,7.0,33.0
18870,7.0,186.0
25243,1.0,20.0
29512,20.0,33.0
102979,1.0,7.0
31626,20.0,33.0
34698,1.0,161.0
35426,1.0,165.0
24743,1.0,20.0
84970,1.0,29.0
93228,1.0,176.0
75502,1.0,7.0
27614,1.0,25.0
16435,1.0,185.0
16671,7.0,186.0
18334,7.0,186.0
35668,1.0,170.0
77228,7.0,226.0
80377,1.0,229.0
80171,1.0,229.0
32252,1.0,33.0
83802,1.0,213.0
14617,7.0,44.0
73507,6.0,18.0
14339,7.0,44.0
73817,1.0,219.0
84206,1.0,221.0
24315,1.0,20.0
8530,1.0,93.0
14665,7.0,44.0
25307,1.0,20.0
10569,1.0,1.0
76377,1.0,18.0
104276,1.0,228.0
81175,7.0,231.0
75388,1.0,7.0
13561,1.0,4.0
14289,7.0,44.0
27215,1.0,25.0
26219,1.0,23.0
25895,1.0,23.0
80785,1.0,213.0
88477,1.0,213.0
19742,1.0,9.0
77678,1.0,227.0
28284,5.0,196.0
88527,1.0,252.0
34318,7.0,201.0
15795,7.0,44.0
68153,1.0,10.0
19634,1.0,9.0
25203,1.0,20.0
108741,1.0,65.0
32218,1.0,33.0
8495,1.0,36.0
20651,7.0,67.0
85702,1.0,29.0
78685,1.0,21.0
106122,1.0,226.0
22035,7.0,98.0
8814,1.0,18.0
34562,1.0,161.0
30246,7.0,33.0
90851,1.0,176.0
74023,1.0,219.0
14935,7.0,44.0
9557,1.0,9.0
23431,1.0,20.0
19166,7.0,186.0
30608,7.0,33.0
15863,1.0,185.0
78535,2.0,21.0
90766,1.0,213.0
32276,7.0,33.0
25947,1.0,23.0
20659,7.0,67.0
92161,1.0,216.0
91355,1.0,270.0
75688,1.0,7.0
75372,1.0,7.0
37198,1.0,38.0
68559,6.0,206.0
29116,1.0,32.0
21883,7.0,98.0
76818,1.0,7.0
87131,1.0,176.0
88095,1.0,270.0
72258,5.0,196.0
8887,1.0,18.0
31324,20.0,33.0
9529,1.0,9.0
113451,1.0,18.0
77018,1.0,7.0
36860,1.0,38.0
82767,1.0,50.0
23867,1.0,20.0
30754,20.0,33.0
28764,1.0,30.0
111405,1.0,174.0
106282,1.0,226.0
23315,1.0,20.0
25247,1.0,20.0
79061,1.0,21.0
37160,1.0,38.0
29734,20.0,33.0
67481,1.0,10.0
37468,1.0,203.0
29194,1.0,32.0
84506,1.0,221.0
73863,7.0,217.0
93560,1.0,78.0
105738,1.0,226.0
26893,1.0,25.0
18294,7.0,186.0
78869,5.0,21.0
70894,1.0,140.0
21099,7.0,76.0
72195,5.0,196.0
88167,1.0,18.0
74336,1.0,219.0
113516,1.0,18.0
27592,1.0,25.0
86287,1.0,78.0
24845,1.0,20.0
85602,1.0,29.0
15571,7.0,44.0
86013,1.0,240.0
75524,1.0,7.0
17304,7.0,186.0
89089,1.0,213.0
71355,9.0,211.0
33378,1.0,198.0
104136,1.0,7.0
10129,1.0,18.0
9301,1.0,18.0
28928,1.0,30.0
31074,9.0,33.0
33828,1.0,198.0
74548,1.0,7.0
22235,7.0,193.0
24145,1.0,20.0
77590,1.0,227.0
81589,1.0,214.0
11117,1.0,18.0
24133,1.0,20.0
82361,1.0,235.0
74990,1.0,216.0
26623,1.0,23.0
10015,1.0,18.0
27263,1.0,25.0
82973,1.0,214.0
113133,1.0,65.0
13287,1.0,2.0
15189,7.0,44.0
15495,7.0,44.0
103448,1.0,65.0
23177,1.0,20.0
86749,1.0,176.0
106110,1.0,226.0
26279,1.0,23.0
88475,1.0,213.0
22923,1.0,20.0
82283,1.0,214.0
31116,9.0,33.0
8984,1.0,18.0
71126,7.0,209.0
92091,1.0,176.0
79629,1.0,21.0
11617,1.0,18.0
81533,1.0,214.0
31744,7.0,33.0
75480,1.0,7.0
16213,1.0,185.0
10965,1.0,18.0
23633,2.0,20.0
68102,1.0,10.0
71239,7.0,210.0
13391,1.0,2.0
22115,7.0,98.0
21707,6.0,98.0
76850,1.0,7.0
16859,7.0,186.0
75990,1.0,7.0
89285,1.0,244.0
29636,20.0,33.0
25715,1.0,23.0
33168,1.0,198.0
72234,5.0,196.0
78267,1.0,213.0
26557,1.0,23.0
93002,1.0,270.0
31220,20.0,33.0
69681,8.0,27.0
15257,7.0,44.0
73485,1.0,216.0
81235,1.0,176.0
